id,title,issn,descrip,thumbnail,thumbnail_extension
10358,"New Mutants (1983) #22",22,,http://i.annihil.us/u/prod/marvel/i/mg/8/c0/4bb53136cea26,"jpg"
10362,"New Mutants (1983) #26",26,,http://i.annihil.us/u/prod/marvel/i/mg/8/e0/4bb4f73b171d2,"jpg"
10364,"New Mutants (1983) #28",28,,http://i.annihil.us/u/prod/marvel/i/mg/7/00/57d86a7834aa8,"jpg"
10365,"New Mutants (1983) #29",29,,http://i.annihil.us/u/prod/marvel/i/mg/5/00/50b417a1e110c,"jpg"
1037,"Avengers: Clear & Present Dangers (Trade Paperback)",0,"The Grim Reaper comes calling on New York City's Avengers Day, and Earth's mightiest heroes face off against munitions despot Moses Magnum and the Avatars of Lord Templar.",http://i.annihil.us/u/prod/marvel/i/mg/2/c0/4bc66bb89dfeb,"jpg"
10370,"New Mutants (1983) #33",33,,http://i.annihil.us/u/prod/marvel/i/mg/5/e0/50ad63c365d50,"jpg"
10372,"New Mutants (1983) #35",35,,http://i.annihil.us/u/prod/marvel/i/mg/6/00/50ad624cb7283,"jpg"
10392,"New Mutants (1983) #53",53,,http://i.annihil.us/u/prod/marvel/i/mg/7/90/4bae3cebab6ea,"jpg"
10393,"New Mutants (1983) #54",54,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10402,"New Mutants (1983) #62",62,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10403,"New Mutants (1983) #63",63,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10404,"New Mutants (1983) #64",64,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10405,"New Mutants (1983) #65",65,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10407,"New Mutants (1983) #67",67,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10408,"New Mutants (1983) #68",68,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
10409,"New Mutants (1983) #69",69,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
1041,"Blaze of Glory (Trade Paperback)",0,"The lives of a handful of gunfighters gave birth to the West of legend, and their legends became more real than their lives. This volume tells the story of men such as the Rawhide Kid, Kid Colt, Gunhawk, Reno Jones, Caleb Hammer, the Outlaw Kid, the Two-G",http://i.annihil.us/u/prod/marvel/i/mg/e/a0/4bc66baaca129,"jpg"
10411,"New Mutants (1983) #70",70,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,"jpg"
1042,"Cable Vol. I: The Shining Path (Trade Paperback)",0,"The mutant freedom fighter called Cable becomes embroiled in a conflict with terrorists attempting to topple the fragile government of Peru, while dealing with a flare-up of the techno-organic virus that's plagued him since childhood.",http://i.annihil.us/u/prod/marvel/i/mg/c/60/4bc66a5f6b08d,"jpg"
10430,"New Mutants (1983) #88",88,"The New Mutants reunite with X-Factor! But Rusty and Skids have been imprisoned by Freedom Force -- and the Mutant Liberation Front has something to do with it!",http://i.annihil.us/u/prod/marvel/i/mg/3/40/58062a7c2326f,"jpg"
10431,"New Mutants (1983) #89",89,"It's Cable versus Freedom Force! Does Cable know the whereabouts of Skids and Rusty?",http://i.annihil.us/u/prod/marvel/i/mg/9/80/58062b9f2bee3,"jpg"
